frame,time,val
0,0.016667399999278132,100
281,0.0165538999990531,100
335,0.9168528999998671,100
389,1.8338848000003054,100
443,2.7389407999999094,100
497,3.633698399999048,100
551,4.53724929999953,100
605,5.500414799998907,100
659,6.400546299999405,100
713,7.29984979999972,100
767,8.199940099999367,100
821,9.100032700000156,100
875,9.99993749999885,100
929,0.01645259999895643,110
947,0.3163589999985561,3
965,0.6170164999984991,6
983,0.9181203999996796,112
1001,1.2179600999988907,7
1019,1.5175127999991673,9
1037,1.8170405000000756,111
1055,2.1155103000000963,1
1073,2.4163700999997673,8
1091,2.7258664999990287,112
1109,3.016734099999667,7
1127,3.3170309999986785,9
1145,3.6170410999984597,110
1163,3.916486000000077,3
1181,4.216376299998956,6
1199,4.5166015999984666,111
1217,4.816621299998587,1
1235,5.116345299999011,8
1253,5.416291799998362,110
1271,5.7163273999995,3
1289,6.016345099998944,6
1307,6.316563999998834,112
1325,6.617031699999643,7
1343,6.916392099999939,9
1361,7.216537700000117,110
1379,7.516508099999555,3
1397,7.817029299998467,6
1415,8.116817999998602,112
1433,8.416499799999656,7
1451,8.716387799999211,9
1469,9.016474999998536,110
1487,9.316735299998982,3
1505,9.616959799999677,6
1523,9.916953899999498,111
1541,10.21692609999991,1
1559,10.516947499998423,8
1577,10.816548899998452,110
1595,11.116733799999565,3
1613,11.416767899998376,6
1631,11.71676699999989,105
1649,12.016595199998847,4
1667,12.316990799999985,2
1685,12.617216699998608,112
1703,12.918070799998532,7
1721,13.21707029999925,9
1739,13.51529870000013,111
1757,13.815931899998759,1
1775,14.11578709999958,8
1793,14.417590199998813,110
1811,14.716329199998654,3
1829,15.019141199998558,6
1847,15.31770559999859,105
1865,15.62013769999976,4
1883,15.917577399999573,2
1901,16.216863199999352,110
1919,16.51683249999951,3
1937,16.817663299998458,6
1955,17.11769859999913,105
1973,17.417695199999798,4
1991,17.7177116999992,2
2009,18.016303499998685,111
2027,18.318273099999715,1
2045,18.617700999999215,8
2063,18.917670599999838,110
2081,19.217656499999066,3
2099,19.51762609999969,6
2117,19.81762869999875,111
2135,20.116348099998504,1
2153,20.417584299999362,8
2171,20.717711599998438,110
2189,21.01749429999836,3
2207,21.31714909999937,6
2225,21.61627689999841,105
2243,21.917679999998654,4
2261,22.216326499999923,2
2279,22.517691499999273,111
2297,22.817743799998425,1
2315,23.115343199999188,8
2333,23.416722999998456,112
2351,23.716670399999202,7
2369,24.017370699999447,9
2387,24.31676359999983,110
2405,24.617208099998606,3
2423,24.916553600000043,6
2441,25.21648599999935,111
2459,25.516818899999635,1
2477,25.817046199999822,8
2495,26.117015699999683,105
2513,26.41720879999957,4
2531,26.717130199998792,2
2549,27.01715079999849,112
2567,27.317137999998522,7
2585,27.617119900000034,9
2603,27.917175299999144,111
2621,28.216572199999064,1
2639,28.517079499999454,8
2657,28.817107099999703,112
2675,29.11725269999988,7
2693,29.417246299999533,9
2711,29.71661849999873,105
2729,30.016858599999978,4
2747,30.316699699998935,2
2765,30.6159878999988,111
2783,30.916653999998744,1
2801,31.216593099999955,8
2819,31.518455299999914,112
2837,31.815609299999778,7
2855,32.11708579999868,9
2873,32.417051399999764,110
2891,32.717050299999755,3
2909,33.017090299999836,6
2927,33.31722749999972,112
2945,33.61692239999866,7
2963,33.91714449999927,9
2981,34.2166189999989,105
2999,34.51673109999865,4
3017,34.81683079999857,2
3035,35.11693439999908,111
3053,35.416911599999366,1
3071,35.716961099999025,8
3089,36.016786299998785,110
3107,36.31675329999962,3
3125,36.61657179999929,6
3143,36.91671399999905,111
3161,37.216850999999224,1
3179,37.516534200000024,8
3197,37.81623839999884,112
3215,38.11658879999959,7
3233,38.4183981999995,9
3251,38.71657830000004,105
3269,39.01669309999852,4
3287,39.31671419999839,2
3305,39.618286899998566,110
3323,39.91672469999867,3
3341,40.21670589999849,6
3359,40.51656240000011,112
3377,40.81666089999999,7
3395,41.11705249999977,9
3413,41.41721719999987,110
3431,41.716706899998826,3
3449,42.01677059999929,6
3467,42.316729599999235,111
3485,42.61678149999898,1
3503,42.91674339999918,8
3521,43.217276800000036,110
3539,43.51835899999969,3
3557,43.81679029999941,6
3575,44.11672709999948,105
3593,44.4167884999988,4
3611,44.71676819999993,2
3629,45.016641499998514,110
3647,45.31668699999864,3
3665,45.61676199999965,6
3683,45.91686089999894,112
3701,46.21682139999939,7
3719,46.51700600000004,9
3737,46.816758499999196,110
3755,47.117381699999896,3
3773,47.41833099999894,6
3791,47.716795499998625,105
3809,48.01663609999923,4
3827,48.31678969999848,2
3845,48.617068599998674,110
3863,48.91687869999987,3
3881,49.21669809999912,6
3899,49.51670009999907,105
3917,49.81558539999969,4
3935,50.1195076999993,2
3953,50.417681099999754,110
3971,50.716736200000014,3
3989,51.01674429999912,6
4007,51.31682209999963,112
4025,51.616840099999536,7
4043,51.9167553999996,9
4061,52.21681609999905,105
4079,52.51674069999899,4
4097,52.816883399998915,2
4115,53.11672019999969,111
4133,53.41673169999922,1
4151,53.71676059999845,8
4169,54.01681469999858,112
4187,54.31819099999848,7
4205,54.61828710000009,9
4223,54.915649499998835,110
4241,55.21787880000011,3
4259,55.51693869999872,6
4277,55.816754800000126,105
4295,56.11686980000013,4
4313,56.41669879999972,2
