frame,global_time,section_id,section_time,type,val
298,17.74182840017602,1,5.1598994000814855,space,-999
562,22.363407999975607,1,9.781481399899349,space,-999
1,22.409188100136817,2,0.01335690007545054,frame,100
1,29.04840560001321,3,0.01912730000913143,frame,100
73,30.26233489997685,3,1.2330563999712467,frame,100
145,31.462163700023666,3,2.432885600021109,frame,100
217,32.67642210004851,3,3.647143900161609,frame,100
289,33.87614170019515,3,4.846863599959761,frame,100
361,35.12915710010566,3,6.099879899993539,frame,100
433,36.32928860001266,3,7.300011300016195,frame,100
505,37.56261570006609,3,8.533338899957016,frame,100
1,38.792697000084445,4,0.013530900003388524,frame,110
19,39.09255830012262,4,0.3133926000446081,frame,3
37,39.392598800128326,4,0.6134329000487924,frame,6
55,39.692432900192216,4,0.9132668999955058,frame,12
73,39.99147200002335,4,1.2123056000564247,frame,107
91,40.30929460003972,4,1.530130100203678,frame,9
109,40.60925280000083,4,1.8300882000476122,frame,11
127,40.9250742001459,4,2.145907900063321,frame,1
145,41.24592240015045,4,2.466757300077006,frame,108
163,41.54592470009811,4,2.7667594000231475,frame,12
181,41.845892400015146,4,3.0667270000558347,frame,7
199,42.1582285000477,4,3.379062000196427,frame,9
217,42.45935340016149,4,3.6801890002097934,frame,110
235,42.75935559999198,4,3.9801911001559347,frame,3
253,43.05938380002044,4,4.280219700187445,frame,6
271,43.3591533000581,4,4.579986900091171,frame,11
289,43.65923080011271,4,4.880064400145784,frame,101
307,43.99595380015671,4,5.2167886001989245,frame,8
325,44.29594820016064,4,5.516782800201327,frame,10
343,44.59563440014608,4,5.816468000179157,frame,3
361,44.89600890013389,4,6.116844100179151,frame,106
379,45.19590659998357,4,6.416741300141439,frame,12
397,45.510496200062335,4,6.731330400099978,frame,7
415,45.82931699999608,4,7.050151700153947,frame,9
433,46.12932050018571,4,7.350155400112271,frame,110
451,46.42921430012211,4,7.650048000039533,frame,3
469,46.778843900188804,4,7.9996776999905705,frame,6
487,47.07948680012487,4,8.30032190005295,frame,12
505,47.379650000017136,4,8.600486700190231,frame,107
523,47.67909070011228,4,8.899924400029704,frame,9
541,47.979095600079745,4,9.199929900001734,frame,10
559,48.27967990003526,4,9.50051680020988,frame,3
577,48.59124540002085,4,9.812079000053927,frame,106
595,48.89186149998568,4,10.112695600138977,frame,11
613,49.19277020008303,4,10.413604200119153,frame,1
631,49.49219510005787,4,10.713029200211167,frame,8
649,49.80821850011125,4,11.029052200028673,frame,110
667,50.10942340013571,4,11.330259000184014,frame,3
685,50.40936670009978,4,11.630201900145039,frame,6
703,50.70851460006088,4,11.929351000115275,frame,5
721,51.00942590017803,4,12.230261099990457,frame,104
739,51.30867830011994,4,12.529512000037357,frame,2
757,51.60839160019532,4,12.829225399997085,frame,12
775,51.914632900152355,4,13.13546960009262,frame,7
793,52.22935639997013,4,13.450191000010818,frame,109
811,52.52966530015692,4,13.75049990019761,frame,11
829,52.859360500006005,4,14.080196000169963,frame,1
847,53.15930110006593,4,14.380136700114235,frame,8
865,53.4794295001775,4,14.700264100218192,frame,110
883,53.7794167001266,4,15.000251400051638,frame,3
901,54.09276510006748,4,15.31359939998947,frame,6
919,54.392095600022,4,15.6129297001753,frame,5
937,54.71305360016413,4,15.933887300081551,frame,104
955,55.012329700170085,4,16.233163400087506,frame,2
973,55.31263140006922,4,16.53346520010382,frame,10
991,55.62465130002238,4,16.845486600184813,frame,3
1009,55.94108770019375,4,17.161921299993992,frame,106
1027,56.24256280018017,4,17.463396600214764,frame,5
1045,56.54273320012726,4,17.763567100046203,frame,4
1063,56.842030900064856,4,18.06286480021663,frame,2
1081,57.142682400066406,4,18.363516500219703,frame,111
1099,57.44259880017489,4,18.663432800211012,frame,1
1117,57.74391060019843,4,18.964744800003245,frame,8
1135,58.0622408001218,4,19.283074600156397,frame,10
1153,58.37661040015519,4,19.597444100072607,frame,103
1171,58.676250600023195,4,19.89708450017497,frame,6
1189,58.99328940012492,4,20.21412400016561,frame,11
1207,59.31231479998678,4,20.53314850013703,frame,1
1225,59.62888900004327,4,20.849722700193524,frame,108
1243,59.92945950012654,4,21.150294200051576,frame,10
1261,60.24608990014531,4,21.46692440006882,frame,3
1279,60.546095500001684,4,21.76693020015955,frame,6
1297,60.851231100037694,4,22.07206490007229,frame,105
1315,61.17884230008349,4,22.399676100118086,frame,4
1333,61.479414200177416,4,22.70024890010245,frame,2
1351,61.795581800164655,4,23.016415600199252,frame,11
1369,62.10826660017483,4,23.329100200207904,frame,101
1387,62.410559500101954,4,23.631393800023943,frame,8
1405,62.72476500016637,4,23.945600400213152,frame,12
1423,63.04610460018739,4,24.266939300112426,frame,7
1441,63.34608510020189,4,24.56691990001127,frame,109
1459,63.64610550017096,4,24.866940200095996,frame,10
1477,63.96234900015406,4,25.183182600187138,frame,3
