frame,global_time,section_id,section_time,type,val
839,20.161051025002962,1,13.979792683996493,space,97
1,20.21480305699515,2,0.016848133993335068,frame,110
19,20.515239653992467,2,0.31728501501493156,frame,3
37,20.81468624199624,2,0.6167313189944252,frame,6
55,21.115024642000208,2,0.9170698980160523,frame,112
73,21.415352190000704,2,1.2173972880118527,frame,7
91,21.71554914000444,2,1.5175941369961947,frame,9
109,22.01594002501224,2,1.8179850750020705,frame,111
127,22.315735562995542,2,2.117780616012169,frame,1
145,22.616063515015412,2,2.4181087909964845,frame,8
