frame,global_time,section_id,section_time,type,val
437,18.929909700062126,1,7.277497399947606,space,-999
560,20.979800599976443,1,9.327389499987476,space,-999
1,21.02793149999343,2,0.016590600018389523,frame,100
1,21.929380299989134,3,0.016633499995805323,frame,100
55,22.82938530005049,3,0.9166381999384612,frame,100
109,23.72799429995939,3,1.815252500004135,frame,100
163,24.627945499960333,3,2.7152039000065997,frame,100
217,25.52794920001179,3,3.6152072999393567,frame,100
271,26.427956699975766,3,4.515214600018226,frame,100
325,27.32938610005658,3,5.416638999944553,frame,100
379,28.229493299964815,3,6.316746999975294,frame,100
433,29.12952930002939,3,7.216783700045198,frame,100
487,30.029422900057398,3,8.11667589994613,frame,100
541,30.929486899985932,3,9.016740699997172,frame,100
595,31.829497799975798,3,9.91675109998323,frame,100
649,32.72799619997386,3,10.815255100023933,frame,100
703,33.628007199964486,3,11.715264900005423,frame,100
757,34.52801690006163,3,12.615274799987674,frame,100
811,35.42948170006275,3,13.516734699951485,frame,100
1,36.32940599997528,4,0.016571399988606572,frame,110
19,36.62946980004199,4,0.31663530005607754,frame,3
37,36.92958370002452,4,0.6167501000454649,frame,6
55,37.22964829998091,4,0.9168157000094652,frame,112
73,37.528044300037436,4,1.2152151999762282,frame,7
91,37.828029999975115,4,1.5152010000310838,frame,9
109,38.12953789997846,4,1.8167044000001624,frame,111
127,38.42952839995269,4,2.116694499971345,frame,1
145,38.72947649995331,4,2.416641899966635,frame,8
163,39.02950249996502,4,2.71666809997987,frame,112
181,39.32796360005159,4,3.015133799985051,frame,7
199,39.62804049998522,4,3.3152116000419483,frame,9
217,39.92950800003018,4,3.61667340004351,frame,110
235,40.22949589998461,4,3.9166614999994636,frame,3
253,40.52953729999717,4,4.216702800011262,frame,6
271,40.827800899976864,4,4.5149693000130355,frame,111
289,41.12954630004242,4,4.816712100058794,frame,1
307,41.42950009997003,4,5.116665599984117,frame,8
325,41.72952160006389,4,5.416687099961564,frame,110
343,42.02951959997881,4,5.7166851999936625,frame,3
361,42.3296145000495,4,6.016780799953267,frame,6
379,42.62965689995326,4,6.316823299974203,frame,112
397,42.92952760006301,4,6.616692999959923,frame,7
415,43.22954920004122,4,6.916714700055309,frame,9
433,43.5295159999514,4,7.2166813999647275,frame,110
451,43.82952699996531,4,7.516692499979399,frame,3
469,44.129554499988444,4,7.816719900001772,frame,6
487,44.42800229997374,4,8.115172400022857,frame,112
505,44.729474700056016,4,8.416640099952929,frame,7
523,45.02956070005894,4,8.716726399958134,frame,9
541,45.327754199970514,4,9.014921199996024,frame,110
559,45.629701300058514,4,9.31686829996761,frame,3
577,45.92954909999389,4,9.616714600007981,frame,6
595,46.22954800003208,4,9.916713700047694,frame,111
613,46.52955970005132,4,10.216724999947473,frame,1
631,46.82953710004222,4,10.516702600056306,frame,8
649,47.129557400010526,4,10.816722800023854,frame,110
667,47.429542000056244,4,11.116707899956964,frame,3
685,47.72955519997049,4,11.416720799985342,frame,6
703,48.029547399957664,4,11.716712899971753,frame,105
721,48.32952979998663,4,12.01669530000072,frame,4
739,48.62956509995274,4,12.316730599966832,frame,2
757,48.92957919999026,4,12.616745100007392,frame,112
775,49.22951279999688,4,12.91667820001021,frame,7
793,49.529569800011814,4,13.216735200025141,frame,9
811,49.82952180004213,4,13.516687500057742,frame,111
829,50.129725900013,4,13.816892600036226,frame,1
847,50.429623499978334,4,14.116789399995469,frame,8
865,50.72956060001161,4,14.416726100025699,frame,110
883,51.02954719995614,4,14.71671269997023,frame,3
901,51.32958639995195,4,15.016751799965277,frame,6
919,51.62943890003953,4,15.316604500054382,frame,105
937,51.92949739994947,4,15.61666299996432,frame,4
955,52.22964230005164,4,15.91680839995388,frame,2
973,52.52965060004499,4,16.21681669994723,frame,110
991,52.829658700036816,4,16.516824800055474,frame,3
1009,53.1296545000514,4,16.816820799955167,frame,6
1027,53.429580299998634,4,17.11674570001196,frame,105
1045,53.72957750002388,4,17.416742800036445,frame,4
1063,54.02957969997078,4,17.71674509998411,frame,2
1081,54.329578800010495,4,18.016744300024584,frame,111
1099,54.6295893000206,4,18.316754700033925,frame,1
1117,54.929588999948464,4,18.616754499962553,frame,8
1135,55.22944859997369,4,18.916614199988544,frame,110
1153,55.52958780003246,4,19.216753700049594,frame,3
1171,55.82959700003266,4,19.51676240004599,frame,6
1189,56.12961030006409,4,19.816775899962522,frame,111
1207,56.4296209999593,4,20.11678679997567,frame,1
1225,56.72961379995104,4,20.41677949996665,frame,8
1243,57.02961960004177,4,20.716785500058904,frame,110
1261,57.32973390002735,4,21.0169008000521,frame,3
1279,57.62975960003678,4,21.316926200059243,frame,6
1297,57.92961989995092,4,21.61678539996501,frame,105
1315,58.22949960001279,4,21.916665200027637,frame,4
1333,58.52962269994896,4,22.216788199963048,frame,2
1351,58.82961110002361,4,22.516776900039986,frame,111
1369,59.12965969997458,4,22.816825299989432,frame,1
1387,59.429768400033936,4,23.116935300058685,frame,8
1405,59.72965180000756,4,23.416817700024694,frame,112
1423,60.02965300006326,4,23.71681879996322,frame,7
1441,60.32967839995399,4,24.016844199970365,frame,9
1459,60.629656499950215,4,24.316822199965827,frame,110
1477,60.92967049998697,4,24.616836600005627,frame,3
1495,61.229664299986325,4,24.91683030000422,frame,6
1513,61.529803800047375,4,25.21697079995647,frame,111
1531,61.82980940002017,4,25.516976200044155,frame,1
1549,62.12975169997662,4,25.816918800002895,frame,8
1567,62.42810619994998,4,26.115276199998334,frame,105
1585,62.72961330006365,4,26.41677869996056,frame,4
1603,63.0297243000241,4,26.716891000047326,frame,2
1621,63.32974039996043,4,27.01690679998137,frame,112
1639,63.62967599998228,4,27.31684139999561,frame,7
1657,63.929717599996366,4,27.616883700015023,frame,9
1675,64.22973919997457,4,27.916905299993232,frame,111
1693,64.5297040999867,4,28.216870500007644,frame,1
1711,64.82971900003031,4,28.516885100048967,frame,8
1729,65.12975079996977,4,28.816916799987666,frame,112
1747,65.42972869996447,4,29.11689489998389,frame,7
1765,65.72955789999105,4,29.41672340000514,frame,9
1783,66.02797130006365,4,29.715139799984172,frame,105
1801,66.32974379998632,4,30.01690960000269,frame,4
1819,66.62824200000614,4,30.3154205000028,frame,2
1837,66.92966839997098,4,30.616833699983545,frame,111
1855,67.22965880006086,4,30.916824199957773,frame,1
1873,67.52823090006132,4,31.21540109999478,frame,8
1891,67.82974519999698,4,31.51691080001183,frame,112
1909,68.12966460001189,4,31.81683000002522,frame,7
1927,68.42967350000981,4,32.11683890002314,frame,9
1945,68.72983760002535,4,32.41700420004781,frame,110
1963,69.02983879996464,4,32.7170053999871,frame,3
1981,69.32794540002942,4,33.01511339994613,frame,6
1999,69.62971360003576,4,33.316879100049846,frame,112
2017,69.92967860004865,4,33.61684419994708,frame,7
2035,70.22982939996291,4,33.91699579998385,frame,9
2053,70.52985659998376,4,34.21702370001003,frame,105
2071,70.82991910004057,4,34.51708659995347,frame,4
2089,71.1296932999976,4,34.816858700010926,frame,2
2107,71.42968539998401,4,35.11685099999886,frame,111
2125,71.7296967000002,4,35.416862300015055,frame,1
2143,72.02812140004244,4,35.71529119997285,frame,8
2161,72.32970580004621,4,36.01687120005954,frame,110
2179,72.62831960001495,4,36.31549069995526,frame,3
2197,72.92972969997209,4,36.61689499998465,frame,6
2215,73.22977480001282,4,36.91694100003224,frame,111
2233,73.52978800004348,4,37.216954199946485,frame,1
2251,73.82799190003425,4,37.51515949994791,frame,8
2269,74.12978219997603,4,37.81694859999698,frame,112
2287,74.42988720000722,4,38.117054100031964,frame,7
2305,74.7298380000284,4,38.41700460005086,frame,9
2323,75.02985799999442,4,38.7170243000146,frame,105
2341,75.32982930005528,4,39.01699589996133,frame,4
2359,75.62833350000437,4,39.31550450006034,frame,2
2377,75.92978500004392,4,39.61695060005877,frame,110
2395,76.22977450001054,4,39.91694020002615,frame,3
2413,76.52975900005549,4,40.21692429995164,frame,6
2431,76.82996879995335,4,40.51713589997962,frame,112
2449,77.12976899999194,4,40.816934400005266,frame,7
2467,77.42991399997845,4,41.11708070000168,frame,9
2485,77.7297759000212,4,41.416941400035284,frame,110
2503,78.02974350005388,4,41.716908899950795,frame,3
2521,78.32967450004071,4,42.0168400000548,frame,6
2539,78.62993819999974,4,42.31710520002525,frame,111
2557,78.9297804000089,4,42.61694640002679,frame,1
2575,79.22985310002696,4,42.91701970004942,frame,8
2593,79.52983580005821,4,43.21700189996045,frame,110
2611,79.82830020005349,4,43.515471299993806,frame,3
2629,80.1299435000401,4,43.81711019994691,frame,6
2647,80.4299280999694,4,44.117094599991105,frame,105
2665,80.729919699952,4,44.417086599976756,frame,4
2683,81.0299283999484,4,44.71709489997011,frame,2
2701,81.32976090000011,4,45.0169264000142,frame,110
