frame,global_time,section_id,section_time,type,val
764,31.382660014001885,1,12.732564495003317,space,-999
861,32.99931049000588,1,14.349215326001286,space,-999
1,33.04637691601238,2,0.01675997200072743,frame,100
1,37.73233316899859,3,0.016471024995553307,frame,100
55,38.633198349009035,3,0.9173364119924372,frame,100
109,39.80056190500909,3,2.084699687999091,frame,100
163,41.06657887500478,3,3.3507165579940192,frame,100
217,41.96748287300579,3,4.251620270995772,frame,100
271,42.86762375800754,3,5.151761736997287,frame,100
325,43.76763019101054,3,6.0517678250034805,frame,100
379,44.668531322007766,3,6.95266899499984,frame,100
433,45.56927397999971,3,7.85341168299783,frame,100
487,46.46933092101244,3,8.753468303999398,frame,100
541,47.36961874800909,3,9.653756596992025,frame,100
595,48.27011958700314,3,10.554257613999653,frame,100
1,49.17074202900403,4,0.01659100099641364,frame,110
19,49.47085295000579,4,0.3167020159889944,frame,3
37,49.771183855002164,4,0.617033005997655,frame,6
55,50.07107299201016,4,0.9169223959906958,frame,112
73,50.37082933500642,4,1.2166787140013184,frame,7
91,50.67154084300273,4,1.5173901639936958,frame,9
109,50.971464804999414,4,1.8173138709971681,frame,111
127,51.271714488000725,4,2.1175635599938687,frame,1
145,51.57193910299975,4,2.417788116988959,frame,8
163,51.87234139800421,4,2.7181916319968877,frame,112
181,52.17238116700901,4,3.018230260000564,frame,7
199,52.47223605700128,4,3.3180850479984656,frame,9
217,52.77250329600065,4,3.618352296994999,frame,110
235,53.07264931000827,4,3.91849858299247,frame,3
253,53.37258317200758,4,4.218432385998312,frame,6
271,53.67314066500694,4,4.518989612988662,frame,111
289,53.97280339000281,4,4.818652375994134,frame,1
307,54.27319397700194,4,5.1190428440022515,frame,8
325,54.573243142003776,4,5.419092226002249,frame,110
343,54.87254394800402,4,5.718392960989149,frame,3
361,55.17308341500757,4,6.018932330989628,frame,6
379,55.47339214000385,4,6.319241368997609,frame,112
397,55.77398574100516,4,6.6198348039906705,frame,7
415,56.07399038301082,4,6.919839344001957,frame,9
433,56.3733202709991,4,7.21916928999417,frame,110
451,56.67432155901042,4,7.520170816991595,frame,3
469,56.97397899400676,4,7.8198279599891976,frame,6
487,57.27426105699851,4,8.120109929994214,frame,112
505,57.574723695011926,4,8.420572825998534,frame,7
523,57.87473580001097,4,8.720584812996094,frame,9
541,58.192504361999454,4,9.038355694996426,frame,110
559,58.49210754300293,4,9.337956664996454,frame,3
577,58.79250939001213,4,9.638358817988774,frame,6
595,59.09313667300739,4,9.9389859889925,frame,111
613,59.39293897501193,4,10.238788100992679,frame,1
631,59.69326896000712,4,10.539117993990658,frame,8
649,59.99339880600746,4,10.839248185002361,frame,110
667,60.293630504005705,4,11.139479991994449,frame,3
685,60.5940937710111,4,11.439942949000397,frame,6
703,60.91031684400514,4,11.756165917002363,frame,105
721,61.51023878900742,4,12.356088236992946,frame,4
739,61.860114380004234,4,12.70596360298805,frame,2
757,62.16030148199934,4,13.006150597997475,frame,112
775,62.45976720401086,4,13.305616180994548,frame,7
793,62.76077612700465,4,13.606625040993094,frame,9
811,63.06062479400134,4,13.906473873998038,frame,111
829,63.36082125001121,4,14.206670332991052,frame,1
847,63.66094954000437,4,14.506798371992772,frame,8
865,63.96090262300277,4,14.806751766998786,frame,110
883,64.26154241101176,4,15.107391511992319,frame,3
901,64.56110987100692,4,15.406958929990651,frame,6
919,64.86140725899895,4,15.707256863999646,frame,105
937,65.16167444300663,4,16.00752344499051,frame,4
955,65.46163660200546,4,16.307485697994707,frame,2
973,65.76217506600369,4,16.60802423299174,frame,110
991,66.06149219900544,4,16.907341206999263,frame,3
1009,66.36190065700794,4,17.207749625988072,frame,6
1027,66.66232143700472,4,17.50817069799814,frame,105
1045,66.96234585200727,4,17.80819507999695,frame,4
1063,67.26261084699945,4,18.108460470990394,frame,2
1081,67.56227600001148,4,18.408125271002064,frame,111
1087,67.6488223310007,4,18.494671323991497,pause,-999
1118,68.16531014700013,4,19.011158731998876,resume,-999
1130,68.3796943740017,4,19.225544077999075,frame,1
1148,68.67975779800327,4,19.52560651199019,frame,8
1166,68.97995927900774,4,19.82580817899725,frame,110
1184,69.2801676280069,4,20.126016515001538,frame,3
1202,69.58023513300577,4,20.426083999002003,frame,6
1220,69.88086183600535,4,20.726710926988744,frame,111
1238,70.1803406090039,4,21.026189826996415,frame,1
1256,70.48051747999853,4,21.326366865992895,frame,8
1274,70.78090711199911,4,21.626755859993864,frame,110
1292,71.08089291999931,4,21.92674206099764,frame,3
1310,71.3814019170095,4,22.227251734992024,frame,6
1328,71.68098532300792,4,22.52683507600159,frame,105
1346,71.98159295700316,4,22.827442103996873,frame,4
1364,72.2816636080097,4,23.127512840990676,frame,2
1382,72.581663044999,4,23.427512101989123,frame,111
1400,72.88134287600406,4,23.72719253099058,frame,1
1418,73.18154781500925,4,24.027396733989008,frame,8
1436,73.48254599400389,4,24.32839492399944,frame,112
1454,73.78231919099926,4,24.628168066992657,frame,7
1472,74.08251009900414,4,24.928358991994173,frame,9
1490,74.38252474099863,4,25.228373612990254,frame,110
1508,74.68216891400516,4,25.528017714997986,frame,3
1526,74.9831802789995,4,25.829029111991986,frame,6
1544,75.2828654890036,4,26.128714272999787,frame,111
1562,75.5831827140064,4,26.429031589999795,frame,1
